X1,X2,X3,X4,X5,X6,X7,X8,Sds_Armed,Anomaly_Tag
0.010382,0.029455,0.74196,0.10697,0.20936,0.594,14.963,2.1572,0,0
0.012921,0.038726,1.022,0.14216,0.26058,0.78097,20.61,2.867,0,0
0.021773,0.061353,1.6088,0.22005,0.43909,1.2373,32.444,4.4376,0,0
0.025762,0.073494,1.8472,0.2606,0.43452,1.2591,32.293,4.5505,0,0
0.029209,0.084137,2.0621,0.29527,0.44052,1.2847,31.988,4.5049,0,0
0.034765,0.096276,2.2504,0.32637,0.49174,1.3476,30.419,4.4246,0,0
0.041574,0.10932,2.5106,0.36184,0.57783,1.4237,30.02,4.4301,0,0
0.046847,0.12041,2.7189,0.39876,0.60797,1.4359,27.893,4.4274,0,0
0.051116,0.12851,2.9788,0.44016,0.59176,1.3544,27.628,4.4389,0,0
0.056576,0.13739,3.1957,0.47903,0.62143,1.2887,27.193,4.4051,0,0
0.061043,0.14584,3.3973,0.51915,0.64198,1.2443,26.927,4.5151,0,0
0.064843,0.15376,3.6506,0.56491,0.60658,1.1593,28.239,4.8105,0,0
0.069195,0.16197,3.8768,0.60811,0.55702,1.0617,27.552,4.9664,0,0
0.075364,0.17309,4.1112,0.6467,0.57511,1.0623,28.078,5.0002,0,0
0.083999,0.1868,4.3885,0.68395,0.66313,1.1755,28.43,4.9165,0,0
0.090155,0.1979,4.6574,0.71679,0.67717,1.2202,29.478,4.7947,0,0
0.095748,0.20896,4.8932,0.75648,0.69989,1.2729,30.167,4.7861,0,0
0.10094,0.21949,5.1012,0.79186,0.72801,1.3255,29.252,4.5769,0,0
0.10488,0.22758,5.366,0.82901,0.71957,1.3232,30.033,4.4549,0,0
0.10839,0.23732,5.6655,0.8667,0.66603,1.2952,31.345,4.4365,0,0
0.11117,0.24707,5.914,0.89933,0.54793,1.2155,30.764,4.3435,0,0
0.11481,0.25904,6.13,0.93604,0.49724,1.233,29.699,4.4216,0,0
