X1,X2,X3,X4,X5,X6,X7,X8,Sds_Armed,Anomaly_Tag
0.032051,0.053506,0.32605,0.095676,0.64637,1.079,6.5753,1.9295,0,0
0.037377,0.063085,0.42591,0.12817,0.75377,1.2722,8.5891,2.5848,0,0
0.041809,0.072078,0.50944,0.16454,0.84314,1.4536,10.274,3.3182,0,0
0.048245,0.083104,0.77224,0.41118,0.97295,1.6759,15.574,8.2921,0,0
0.057819,0.10057,1.777,1.5992,0.91469,1.5723,33.522,31.644,0,0
0.066978,0.12112,3.4062,4.0152,0.83849,1.5705,64.131,79.717,0,0
0.075834,0.14699,5.1106,6.4702,0.88296,1.8852,96.488,128.55,0,0
0.083479,0.17117,6.301,7.9886,0.92972,2.1798,118.48,158.52,0,0
0.091973,0.19119,7.1424,8.8791,1.0116,2.4021,133.77,175.74,0,0
0.10178,0.22193,9.3453,10.526,1.0797,2.7997,172.89,203.99,0,0
0.11396,0.2623,11.419,12.225,1.1321,3.2616,194.44,214.29,0,0
0.12461,0.30158,13.008,14.156,1.1622,3.6392,193.63,204.5,0,0
0.13256,0.34967,15.657,16.418,1.144,4.0875,212.69,200.61,0,0
0.13975,0.38921,17.763,17.88,1.1347,4.3972,231.15,199.47,0,0
0.14808,0.41665,19.036,19.115,1.1315,4.5467,239.86,206.43,0,0
0.15635,0.45483,21.642,21.801,1.1004,4.6968,247.98,227.38,0,0
0.1694,0.50245,25.071,25.55,1.1182,4.8429,275.32,268.73,0,0
0.17944,0.53693,27.276,28.27,1.1057,4.7462,287.75,284.64,0,0
0.18619,0.56899,28.511,29.912,1.0814,4.4228,259.21,272.13,0,0
0.19321,0.60522,30.43,33.27,1.0782,4.3562,255.46,310.36,0,0
0.204,0.65334,33.91,38.613,1.1276,4.7733,299.96,393.2,0,0
0.21835,0.71822,38.988,48.083,1.2504,5.3117,349.8,530.02,0,0
0.23588,0.81746,45.859,63.745,1.3405,6.3528,419.22,770.25,0,0
0.254,0.91937,53.595,74.267,1.5037,7.7127,530.76,927.6,0,0
0.26951,0.99928,61.604,83.84,1.6803,8.6777,667.38,1087.5,0,0
0.29058,1.0849,68.411,95.02,1.9635,9.6735,765.94,1245.3,0,0
0.30277,1.1964,74.513,107.14,1.9919,10.951,818.83,1382,0,0
0.31152,1.3523,80.147,115.78,1.8788,12.786,830.05,1365.2,0,0
0.32352,1.4961,84.198,123.33,1.7675,13.686,773.18,1201.7,0,0
0.33391,1.6388,89.591,132.33,1.6114,14.508,725.93,1171,0,0
0.34692,1.7698,95.382,140.81,1.5611,15.539,681.2,1148.9,0,0
0.36125,1.8613,100.35,149.73,1.4252,15.657,644.05,1103.4,0,0
0.37006,1.9339,104.26,156.51,1.357,14.873,599.87,995.59,0,0
0.37767,1.9993,107.51,160.5,1.3342,13.049,551.8,901.88,0,0
0.42559,2.0962,109.9,164.58,2.0584,12.102,518.38,831.94,0,0
0.47654,2.1765,111.55,167.99,2.8765,10.843,442.77,719.08,0,0
0.49094,2.2075,112.29,169.16,2.9044,8.8268,341.05,571.76,0,0
0.50341,2.2325,112.57,169.51,2.867,7.4854,246.56,398.83,0,0
0.5105,2.2467,112.7,169.6,2.8323,6.3077,170.16,263.93,0,0
0.51659,2.2571,112.8,169.65,2.8016,5.1991,106.8,184.57,0,0
