X1,X2,X3,X4,X5,X6,X7,X8,Sds_Armed,Anomaly_Tag
0.014072,0.034026,1.0462,0.1997,0.28379,0.68619,21.098,4.0274,0,0
0.020412,0.04616,1.4265,0.25707,0.41164,0.9309,28.767,5.1842,0,0
0.024434,0.055064,1.803,0.31602,0.49276,1.1105,36.361,6.373,0,0
0.028365,0.066891,2.1138,0.37767,0.57202,1.349,42.628,7.6164,0,0
0.033831,0.082098,2.3656,0.4388,0.60772,1.4277,42.023,7.6139,0,0
0.039584,0.09633,2.6156,0.49026,0.63492,1.4865,39.311,7.2164,0,0
0.043821,0.10789,2.858,0.53431,0.59994,1.4896,36.538,6.7478,0,0
0.053075,0.12297,3.1236,0.57203,0.65871,1.549,34.226,6.3517,0,0
0.065493,0.13723,3.2923,0.60895,0.82801,1.657,30.034,5.9075,0,0
0.073662,0.14752,3.4826,0.65274,0.91349,1.6261,27.606,5.5472,0,0
0.080385,0.15747,3.7636,0.7025,0.93883,1.5199,28.195,5.3179,0,0
0.088929,0.16921,4.1243,0.74493,0.99513,1.4697,30.425,5.1358,0,0
0.10338,0.18951,4.5777,0.8163,1.0146,1.3418,29.324,4.9262,0,0
0.11178,0.20206,4.9078,0.85774,0.93338,1.3075,32.578,5.0172,0,0
0.12127,0.21503,5.2761,0.89915,0.96014,1.3614,36.169,4.9692,0,0
0.12908,0.22578,5.5005,0.94341,0.98207,1.3778,35.027,4.8583,0,0
0.13662,0.23817,5.8266,0.98925,0.96168,1.3907,34.33,4.9271,0,0
0.14592,0.25184,6.1982,1.0268,1.0014,1.4608,37.04,5.0077,0,0
0.15365,0.2633,6.577,1.0637,1.0137,1.4882,40.319,4.9901,0,0
0.16008,0.27458,7.0582,1.1018,0.97407,1.4626,43.367,4.9224,0,0
0.1679,0.28663,7.4994,1.1409,0.94029,1.4439,44.837,4.8751,0,0
0.17473,0.29646,7.937,1.1796,0.92065,1.4254,49.135,4.7623,0,0
0.18216,0.31069,8.2238,1.2179,0.9185,1.4625,48.344,4.6113,0,0
0.18943,0.32415,8.4883,1.2545,0.87754,1.4583,46.184,4.5914,0,0
0.19471,0.33329,8.8461,1.2945,0.82807,1.4113,45.761,4.6543,0,0
0.20308,0.34628,9.2368,1.3343,0.86714,1.4459,43.935,4.6885,0,0
0.21145,0.35865,9.4491,1.3741,0.87839,1.4524,39.319,4.703,0,0
0.21669,0.3676,9.6638,1.4098,0.84608,1.4347,34.823,4.6435,0,0
0.22265,0.37699,9.9441,1.4464,0.81659,1.3371,34.692,4.6081,0,0
0.23072,0.38902,10.251,1.486,0.83277,1.3081,35.558,4.6678,0,0
0.24102,0.40373,10.547,1.5227,0.93391,1.4207,34.293,4.6009,0,0
0.25057,0.41673,10.795,1.5552,0.95778,1.4207,31.427,4.4538,0,0
0.25694,0.4265,11.073,1.5878,0.91729,1.3682,32.755,4.3091,0,0
0.26324,0.43653,11.437,1.6249,0.93883,1.39,35.752,4.3385,0,0
0.27456,0.45182,11.724,1.6547,1.0467,1.5091,35.902,4.2015,0,0
0.28506,0.46623,12.133,1.687,1.0958,1.5571,37.954,4.0545,0,0
0.29298,0.47861,12.562,1.7223,1.0478,1.5101,40.635,4.0262,0,0
0.30215,0.49156,12.899,1.7585,1.0403,1.5091,42.437,4.1007,0,0
0.3101,0.50383,13.258,1.8002,1.072,1.5596,44.05,4.2849,0,0
0.31689,0.51463,13.505,1.8392,1.0819,1.5751,41.72,4.3204,0,0
0.32484,0.52586,13.704,1.8723,1.0141,1.4931,39.929,4.3869,0,0
0.33043,0.53505,13.975,1.9078,0.91495,1.3879,37.133,4.4516,0,0
0.33526,0.54381,14.216,1.9395,0.85256,1.3148,33.365,4.3795,0,0
0.34138,0.555,14.527,1.9704,0.79108,1.2793,32.831,4.2725,0,0
0.34937,0.5695,15.092,2.0091,0.79207,1.3243,36.988,4.2116,0,0
0.3651,0.59046,15.454,2.0471,0.97212,1.5292,39.29,4.193,0,0
0.37925,0.60858,15.68,2.0823,1.0972,1.6681,39.843,4.2363,0,0
0.39047,0.62498,15.9,2.1215,1.2109,1.8136,38.835,4.3105,0,0
0.40082,0.64073,16.24,2.1578,1.3222,1.9545,40.818,4.4027,0,0
0.4075,0.65131,16.587,2.198,1.3334,1.9423,41.529,4.5915,0,0
0.41378,0.66056,16.899,2.2423,1.299,1.8364,36.437,4.7026,0,0
0.42547,0.67549,17.514,2.2772,1.2176,1.7148,41.553,4.6415,0,0
0.43734,0.69121,18.036,2.3108,1.1715,1.6665,47.523,4.6067,0,0
0.44818,0.70536,18.305,2.3453,1.1637,1.621,48.499,4.5124,0,0
0.45776,0.71844,18.673,2.3834,1.1484,1.5672,49.055,4.5493,0,0
0.46531,0.72953,18.984,2.4217,1.1657,1.5774,48.348,4.5102,0,0
0.47002,0.738,19.277,2.4502,1.1341,1.5617,47.961,4.1939,0,0
0.47352,0.74542,19.659,2.4817,0.96899,1.4102,43.249,4.123,0,0
0.47785,0.75321,20.158,2.5156,0.81703,1.2502,42.786,4.1315,0,0
0.48533,0.7651,20.561,2.5524,0.74921,1.2048,45.481,4.1773,0,0
0.49651,0.78033,20.869,2.5894,0.78129,1.2481,44.292,4.1536,0,0
0.50506,0.7919,21.145,2.6268,0.80177,1.2577,43.577,4.1357,0,0
0.51067,0.80101,21.406,2.6659,0.81971,1.2707,42.937,4.3501,0,0
0.51791,0.81188,21.7,2.7047,0.89521,1.3402,41.162,4.4981,0,0
0.52624,0.82368,22.128,2.7373,0.97585,1.4213,39.738,4.4709,0,0
0.53636,0.83761,22.57,2.7685,1.0291,1.4623,40.531,4.3586,0,0
0.54723,0.85264,23.014,2.8032,1.023,1.4583,43.262,4.3117,0,0
0.55449,0.86622,23.403,2.84,0.99672,1.499,45.533,4.3007,0,0
0.56001,0.87708,23.894,2.8782,0.99507,1.5341,50.186,4.2799,0,0
0.56369,0.88473,24.259,2.917,0.92313,1.4693,51.603,4.2813,0,0
0.56616,0.89077,24.814,2.956,0.80512,1.3529,54.165,4.4105,0,0
