X1,X2,X3,X4,X5,X6,X7,X8,Sds_Armed,Anomaly_Tag
0.022462,0.042165,0.29231,0.26415,0.45298,0.85032,5.895,5.327,0,0
0.032069,0.0606,0.38755,0.34871,0.64673,1.2221,7.8157,7.0324,0,0
0.041835,0.084319,0.49083,0.41844,0.84367,1.7004,9.8984,8.4385,0,0
0.050887,0.10369,0.59357,0.48537,1.0262,2.0911,11.97,9.7883,0,0
0.061942,0.12176,0.71527,0.55172,1.1394,2.2279,12.293,9.5754,0,0
0.072347,0.13975,0.84389,0.61184,1.1859,2.2873,12.892,8.9011,0,0
0.078301,0.15233,0.97675,0.67375,1.1261,2.2216,13.803,8.2604,0,0
0.085149,0.167,1.0883,0.72943,1.0704,2.1457,14.132,7.6778,0,0
0.094786,0.18652,1.2375,0.77432,1.0679,2.0611,15.059,7.1768,0,0
0.10907,0.21063,1.3985,0.81339,1.1733,2.1565,16.232,6.615,0,0
0.11715,0.22421,1.5358,0.84927,1.1133,2.0661,16.547,6.0006,0,0
0.12418,0.23384,1.6548,0.89341,1.0453,1.8975,16.354,5.6785,0,0
0.12946,0.24328,1.7753,0.93744,1.0316,1.8342,16.104,5.3178,0,0
0.13317,0.25205,1.8966,0.98027,0.96839,1.7154,16.301,5.0586,0,0
0.13634,0.25925,2.0243,1.0197,0.83803,1.4667,15.867,4.949,0,0
0.13897,0.26529,2.1569,1.0592,0.60304,1.1024,15.296,4.9578,0,0
0.14294,0.27403,2.2775,1.0998,0.52012,1.0046,14.959,5.0522,0,0
0.1486,0.28511,2.4127,1.1388,0.49249,1.0339,15.283,4.9479,0,0
0.15312,0.29556,2.5215,1.1741,0.47717,1.0544,15.049,4.7727,0,0
0.15686,0.30709,2.653,1.2096,0.47775,1.1098,15.252,4.625,0,0
0.16101,0.3172,2.812,1.2492,0.49739,1.1685,15.885,4.6288,0,0
0.16542,0.32705,2.9797,1.2915,0.53351,1.2455,16.593,4.6849,0,0
0.17027,0.33669,3.1299,1.3303,0.55116,1.2637,17.19,4.6491,0,0
0.1735,0.34492,3.2829,1.3625,0.50205,1.2061,17.549,4.512,0,0
0.17632,0.35551,3.4344,1.3984,0.46786,1.2089,18.41,4.5226,0,0
0.18016,0.36705,3.5741,1.4363,0.46988,1.2094,18.577,4.5719,0,0
0.18748,0.38582,3.7101,1.4682,0.53393,1.384,18.111,4.416,0,0
0.19369,0.40279,3.8532,1.5007,0.56993,1.5275,17.616,4.2172,0,0
0.19775,0.41347,4.0181,1.5444,0.5542,1.5484,17.912,4.3179,0,0
0.20165,0.42294,4.1654,1.589,0.56766,1.5734,17.797,4.5672,0,0
0.20638,0.43493,4.3117,1.6265,0.60625,1.6017,17.693,4.6014,0,0
0.21126,0.44807,4.4232,1.6633,0.62718,1.6339,17.124,4.577,0,0
0.21505,0.45805,4.5562,1.6998,0.5559,1.4566,17.063,4.6696,0,0
0.21941,0.46906,4.7057,1.7337,0.51874,1.3363,17.191,4.6992,0,0
0.22406,0.48453,4.8519,1.765,0.53056,1.4331,16.814,4.4489,0,0
0.22823,0.49555,4.9903,1.7927,0.53617,1.4644,16.636,4.108,0,0
0.23188,0.50362,5.1326,1.82,0.51434,1.3854,16.553,3.9006,0,0
0.23568,0.51216,5.2854,1.8507,0.49261,1.2925,17.387,3.7799,0,0
