X1,X2,X3,X4,X5,X6,X7,X8,Sds_Armed,Anomaly_Tag
0.01903,0.042024,0.24521,0.46377,0.38378,0.84748,4.9451,9.3528,0,0
0.024032,0.051129,0.34577,0.572,0.48464,1.0311,6.973,11.535,0,0
0.02802,0.058779,0.43345,0.67684,0.56507,1.1854,8.7413,13.65,0,0
0.03335,0.068353,0.50694,0.78432,0.67257,1.3784,10.223,15.817,0,0
0.040006,0.078664,0.57726,0.87478,0.63538,1.3348,10.348,14.048,0,0
0.045411,0.089191,0.6757,0.94711,0.61814,1.2214,10.707,12.418,0,0
0.051793,0.10128,0.79655,1.0211,0.6607,1.1951,11.119,11.239,0,0
0.057136,0.11222,0.90939,1.0952,0.6676,1.2321,11.366,10.551,0,0
0.063175,0.12398,1.0046,1.1599,0.70897,1.3149,11.519,9.7415,0,0
0.068708,0.13511,1.1009,1.2195,0.71304,1.3463,11.979,8.7753,0,0
0.073129,0.14645,1.224,1.2871,0.66799,1.367,13.042,8.3158,0,0
0.077719,0.15848,1.3579,1.3628,0.65154,1.3974,13.758,8.3827,0,0
0.084449,0.17428,1.4625,1.4228,0.65856,1.4721,13.431,8.1017,0,0
0.094751,0.19373,1.5601,1.4778,0.75857,1.6438,13.123,7.717,0,0
0.103,0.20892,1.6669,1.545,0.80321,1.713,13.355,7.7662,0,0
0.10859,0.21967,1.7688,1.6184,0.80426,1.7052,13.469,8.0446,0,0
0.11468,0.23187,1.8812,1.6854,0.83802,1.7226,13.254,8.0317,0,0
0.11967,0.245,1.9828,1.7516,0.84595,1.7447,12.602,7.841,0,0
0.12602,0.25824,2.0799,1.8143,0.83836,1.6932,12.449,7.8956,0,0
0.13721,0.27668,2.1711,1.8585,0.8562,1.6727,12.321,7.6773,0,0
0.1474,0.29109,2.2595,1.8972,0.89536,1.6571,11.952,7.1037,0,0
0.1535,0.30008,2.3678,1.9388,0.90567,1.6217,12.08,6.4619,0,0
0.16045,0.30952,2.4715,1.9793,0.92297,1.566,11.905,5.9273,0,0
0.16673,0.31969,2.5796,2.0181,0.94903,1.5062,12.037,5.3737,0,0
0.17228,0.32897,2.6951,2.0561,0.93298,1.4263,12.406,4.8747,0,0
0.17694,0.33691,2.7905,2.095,0.80136,1.2147,12.491,4.7685,0,0
0.18163,0.34518,2.8824,2.1356,0.69036,1.0907,12.561,4.806,0,0
0.18642,0.35324,2.9769,2.1803,0.66393,1.0721,12.283,4.8712,0,0
0.19162,0.36215,3.0846,2.2185,0.62858,1.0613,12.364,4.8238,0,0
0.19709,0.37391,3.2039,2.2562,0.61227,1.0935,12.589,4.8027,0,0
0.20357,0.38646,3.305,2.2932,0.631,1.1593,12.3,4.7829,0,0
0.20959,0.39671,3.3847,2.3271,0.65836,1.206,11.983,4.6821,0,0
0.21621,0.40663,3.4784,2.3617,0.69727,1.2393,12.02,4.5611,0,0
0.22302,0.41709,3.5914,2.3983,0.73809,1.2875,12.394,4.3966,0,0
0.22712,0.42805,3.7164,2.4356,0.71593,1.3291,12.742,4.3789,0,0
0.2324,0.43924,3.8432,2.4703,0.71223,1.3176,12.893,4.3177,0,0
0.24364,0.45471,3.9641,2.5029,0.80793,1.3765,13.291,4.2279,0,0
0.25741,0.47376,4.06,2.5323,0.96439,1.5538,13.618,4.1372,0,0
0.27196,0.49454,4.1467,2.5624,1.1244,1.7729,13.477,4.0468,0,0
0.27975,0.50692,4.2359,2.5962,1.144,1.8115,12.996,3.9897,0,0
0.28454,0.51553,4.338,2.6272,1.158,1.7642,12.535,3.8639,0,0
0.28885,0.52258,4.4446,2.6563,1.1383,1.6807,12.128,3.7514,0,0
0.2943,0.53107,4.5848,2.6878,1.0217,1.5397,12.518,3.7302,0,0
0.30152,0.54171,4.7021,2.7219,0.88949,1.3702,12.95,3.8246,0,0
0.30766,0.55259,4.8103,2.7554,0.71996,1.1707,13.383,3.8919,0,0
