X1,X2,X3,X4,X5,X6,X7,X8,Sds_Armed,Anomaly_Tag
0,0,0,0,0,0,0,0,0,0
0.0084317,0.015423,0.076805,0.029896,0.17004,0.31103,1.5489,0.60291,0,0
0.013709,0.026938,0.11658,0.042494,0.27647,0.54325,2.3509,0.85697,0,0
0.017811,0.035912,0.15628,0.054069,0.3592,0.72422,3.1516,1.0904,0,0
0.020893,0.046134,0.19668,0.066609,0.42135,0.93037,3.9665,1.3433,0,0
0.025336,0.057673,0.23401,0.080016,0.51095,1.1631,4.7193,1.6137,0,0
0.033259,0.073053,0.27093,0.093444,0.57788,1.3272,4.7125,1.5679,0,0
0.039956,0.087901,0.31266,0.10538,0.63574,1.4616,4.7565,1.5222,0,0
0.045574,0.10126,0.35874,0.11719,0.6426,1.4988,4.8836,1.5064,0,0
0.049607,0.11072,0.40058,0.1291,0.6412,1.5086,4.9267,1.513,0,0
0.052987,0.12173,0.43982,0.13991,0.64723,1.5245,4.9033,1.4783,0,0
0.058355,0.13379,0.484,0.15157,0.66588,1.5351,5.0414,1.443,0,0
0.066767,0.14754,0.52436,0.16239,0.67575,1.5022,5.1107,1.3904,0,0
0.073325,0.16167,0.56308,0.17361,0.67295,1.4876,5.05,1.3759,0,0
0.079957,0.17546,0.6044,0.18553,0.6934,1.4965,4.9542,1.3781,0,0
0.093525,0.19525,0.64588,0.19579,0.88568,1.7047,4.9469,1.3449,0,0
0.10552,0.21134,0.6784,0.20499,1.0595,1.807,4.8113,1.3124,0,0
0.11035,0.21725,0.70963,0.21438,1.0486,1.6832,4.5503,1.2666,0,0
0.11301,0.22118,0.74452,0.22571,0.93247,1.485,4.4399,1.277,0,0
0.11605,0.22519,0.77794,0.23812,0.86153,1.2811,4.333,1.3011,0,0
0.11897,0.23018,0.80869,0.24978,0.78672,1.1035,4.12,1.2956,0,0
0.12215,0.23648,0.84433,0.26174,0.57728,0.83147,4.002,1.33,0,0
0.12484,0.24176,0.88347,0.27354,0.3895,0.61347,4.1356,1.3823,0,0
0.12791,0.24733,0.92395,0.2864,0.3541,0.60658,4.3221,1.4525,0,0
0.13045,0.25237,0.96166,0.2991,0.35182,0.6289,4.3791,1.48,0,0
0.1331,0.25712,0.99926,0.31226,0.34384,0.64392,4.4633,1.495,0,0
0.13595,0.26217,1.0362,0.32499,0.34254,0.64506,4.5883,1.5168,0,0
0.13903,0.26764,1.0718,0.33778,0.34035,0.62842,4.587,1.5335,0,0
0.14248,0.27346,1.1073,0.35142,0.35588,0.63944,4.5147,1.5706,0,0
