X1,X2,X3,X4,X5,X6,X7,X8,Sds_Armed,Anomaly_Tag
0.013918,0.026964,0.44317,0.14423,0.28068,0.54377,8.9374,2.9086,0,0
0.018318,0.036906,0.82229,0.23339,0.36942,0.74427,16.583,4.7066,0,0
0.023244,0.058771,1.5842,0.47266,0.46876,1.1852,31.948,9.532,0,0
0.028587,0.095668,2.5285,0.85811,0.5765,1.9293,50.991,17.305,0,0
0.034165,0.12657,3.3261,1.1855,0.57946,2.3429,64.817,23.111,0,0
0.040821,0.15494,4.1792,1.4802,0.6192,2.7212,79.123,28.037,0,0
0.049259,0.1796,4.9525,1.6923,0.71271,3.0782,90.939,31.22,0,0
0.057142,0.2035,5.7615,1.8877,0.78295,3.3597,99.607,33.363,0,0
0.062655,0.2254,6.3194,2.1335,0.79478,3.3604,95.494,33.493,0,0
0.068433,0.24629,6.8024,2.3524,0.80355,3.0376,86.19,30.134,0,0
0.075611,0.27084,7.5638,2.5714,0.83584,2.9094,85.46,27.95,0,0
0.08214,0.29864,8.2425,2.8279,0.83327,2.898,81.944,27.178,0,0
0.089735,0.33548,8.7068,3.0352,0.81626,3.1435,75.712,27.081,0,0
0.098717,0.36616,9.1985,3.2436,0.83841,3.2803,69.313,27.343,0,0
0.10667,0.39254,9.7338,3.4806,0.88765,3.3707,68.857,27.167,0,0
0.11568,0.4246,10.758,3.8494,0.95292,3.5959,79.766,30.19,0,0
0.12191,0.4513,11.424,4.0703,0.93369,3.6394,77.839,30.227,0,0
0.12732,0.46996,11.912,4.2122,0.91116,3.4549,73.993,27.917,0,0
0.1332,0.48575,12.421,4.3617,0.87653,3.0305,74.908,26.752,0,0
0.13772,0.49908,12.739,4.4448,0.7866,2.6805,71.411,24.224,0,0
0.14365,0.51297,12.983,4.5039,0.7458,2.4285,65.53,20.636,0,0
0.15069,0.52686,13.25,4.5683,0.70601,2.0622,50.251,14.498,0,0
0.15558,0.53645,13.498,4.6467,0.67893,1.7171,41.834,11.624,0,0
0.16078,0.54512,13.616,4.6862,0.67475,1.5157,34.375,9.558,0,0
0.16643,0.55308,13.669,4.7015,0.67014,1.3577,25.157,6.8522,0,0
0.17139,0.56019,13.703,4.7138,0.6789,1.2324,19.422,5.4248,0,0
0.17803,0.56924,13.735,4.7263,0.69329,1.1349,15.159,4.4851,0,0
0.18483,0.5783,13.766,4.7387,0.6884,1.0375,10.416,3.4358,0,0
0.18963,0.58521,13.796,4.7506,0.68682,0.98329,6.0082,2.0957,0,0
0.19396,0.59185,13.828,4.762,0.66918,0.94239,4.2813,1.5284,0,0
0.19904,0.59967,13.858,4.7735,0.65761,0.93962,3.8086,1.4521,0,0
0.20466,0.60757,13.887,4.7861,0.67103,0.95554,3.7192,1.4583,0,0
0.20885,0.61471,13.916,4.7981,0.62163,0.91686,3.6436,1.4475,0,0
0.21355,0.62201,13.944,4.8098,0.57924,0.88145,3.5986,1.4348,0,0
0.21882,0.62999,13.975,4.8221,0.58868,0.90314,3.6102,1.4412,0,0
0.22448,0.63844,14.005,4.8354,0.61545,0.93944,3.5672,1.481,0,0
0.22963,0.64593,14.036,4.8492,0.61687,0.93299,3.5895,1.5261,0,0
0.23397,0.65237,14.066,4.8632,0.59103,0.90351,3.6122,1.5554,0,0
0.23851,0.65974,14.098,4.8773,0.59798,0.90824,3.6769,1.597,0,0
0.24177,0.6663,14.13,4.8903,0.56905,0.8932,3.7388,1.6226,0,0
0.24466,0.67223,14.164,4.9036,0.52112,0.8519,3.8211,1.6436,0,0
0.24896,0.67898,14.199,4.916,0.49373,0.81769,3.9147,1.6265,0,0
0.25416,0.68666,14.231,4.9282,0.49473,0.82141,3.9513,1.5939,0,0
0.25885,0.69349,14.267,4.9413,0.50177,0.82919,4.0537,1.574,0,0
0.26307,0.69998,14.312,4.9563,0.4953,0.81143,4.3193,1.5942,0,0
0.26752,0.70877,14.389,4.9762,0.51929,0.85648,5.231,1.733,0,0
0.27183,0.71788,14.522,5.0027,0.54791,0.9206,7.2049,1.9987,0,0
0.27635,0.72657,14.716,5.0306,0.55221,0.95957,10.423,2.3093,0,0
0.28169,0.73635,15.052,5.0626,0.55517,1.0021,16.539,2.7106,0,0
0.28768,0.74731,15.447,5.0992,0.58136,1.0854,23.797,3.1845,0,0
0.29242,0.75779,15.74,5.1335,0.59197,1.1659,28.789,3.5729,0,0
0.29845,0.76939,15.981,5.1601,0.62374,1.2224,32.11,3.7091,0,0
0.30451,0.78008,16.17,5.182,0.65897,1.2543,33.247,3.6163,0,0
0.30975,0.79085,16.318,5.2058,0.67363,1.2963,32.3,3.5333,0,0
0.31583,0.80124,16.475,5.2303,0.68857,1.3085,28.698,3.382,0,0
0.321,0.81043,16.596,5.2514,0.67202,1.2729,23.162,3.069,0,0
0.32607,0.8192,16.677,5.2706,0.67856,1.2384,18.901,2.7647,0,0
0.33129,0.82895,16.764,5.2903,0.66238,1.2012,15.788,2.6254,0,0
0.33562,0.83736,16.879,5.313,0.62745,1.1551,14.288,2.6423,0,0
0.33982,0.84418,17.032,5.3381,0.60654,1.0756,14.41,2.6695,0,0
0.34454,0.85162,17.189,5.3612,0.57887,1.0161,14.405,2.6402,0,0
0.34847,0.85898,17.343,5.3855,0.55396,0.979,15.072,2.7051,0,0
0.35191,0.86799,17.52,5.4099,0.52121,0.98384,17.002,2.8092,0,0
0.35802,0.87875,17.697,5.4325,0.53904,1.0043,18.812,2.868,0,0
0.36435,0.88955,17.862,5.4564,0.57939,1.0526,19.83,2.8917,0,0
0.36902,0.89887,18.026,5.4842,0.58869,1.1029,20.045,2.9452,0,0
0.37363,0.90804,18.222,5.5178,0.58663,1.1378,20.825,3.1577,0,0
0.37827,0.91746,18.437,5.5563,0.60104,1.1794,22.058,3.4449,0,0
0.38246,0.92639,18.637,5.5885,0.61601,1.1777,22.525,3.6012,0,0
0.38731,0.93753,18.85,5.6193,0.59058,1.1854,23.241,3.7677,0,0
0.39338,0.94991,19.085,5.6554,0.58541,1.2171,24.66,4.0135,0,0
