X1,X2,X3,X4,X5,X6,X7,X8,Sds_Armed,Anomaly_Tag
0.011655,0.020612,0.098669,0.057198,0.23505,0.41568,1.9898,1.1535,0,0
0.015485,0.02783,0.1331,0.075962,0.31229,0.56123,2.6842,1.5319,0,0
0.018953,0.035222,0.16692,0.094106,0.38221,0.71031,3.3662,1.8978,0,0
0.021413,0.041288,0.19882,0.11142,0.43184,0.83265,4.0096,2.247,0,0
0.025082,0.048868,0.23229,0.12975,0.4227,0.82976,4.0051,2.2418,0,0
0.028917,0.056524,0.26629,0.14925,0.42401,0.8535,4.0195,2.2684,0,0
0.032623,0.063896,0.29927,0.16721,0.42284,0.87289,4.0454,2.2185,0,0
0.036166,0.070443,0.33387,0.18615,0.41706,0.85936,4.0488,2.2221,0,0
0.039718,0.077014,0.37118,0.20457,0.41876,0.84282,4.1193,2.2277,0,0
0.04324,0.08387,0.41311,0.22322,0.44017,0.85873,4.3214,2.2547,0,0
0.046518,0.090597,0.44949,0.23995,0.43229,0.84153,4.3802,2.2223,0,0
0.049263,0.096366,0.48544,0.25595,0.41031,0.80348,4.4195,2.1517,0,0
0.052376,0.10209,0.52211,0.27342,0.39836,0.77021,4.494,2.142,0,0
0.055573,0.10822,0.55956,0.29295,0.39137,0.76177,4.5514,2.1539,0,0
0.058416,0.11402,0.59524,0.31144,0.37709,0.74619,4.5185,2.1551,0,0
0.061006,0.11896,0.63317,0.32908,0.35829,0.70771,4.4379,2.1348,0,0
0.064331,0.12534,0.67271,0.34519,0.35924,0.70066,4.5015,2.1224,0,0
0.067842,0.13182,0.70987,0.36077,0.37469,0.71491,4.5259,2.1139,0,0
0.070475,0.13667,0.74523,0.37808,0.365,0.69742,4.4995,2.1106,0,0
0.073785,0.14271,0.78058,0.39739,0.36728,0.69558,4.4573,2.1061,0,0
0.076666,0.14896,0.8172,0.41293,0.36804,0.70475,4.4761,2.0469,0,0
0.079401,0.15472,0.85563,0.42852,0.37097,0.72111,4.4863,2.0053,0,0
0.082787,0.16113,0.8866,0.44526,0.37219,0.72167,4.3134,2.0181,0,0
0.087429,0.16819,0.91719,0.46231,0.39499,0.7336,4.1811,2.0477,0,0
0.090777,0.17407,0.94997,0.48117,0.40942,0.75418,4.1289,2.0791,0,0
0.09371,0.17957,0.98085,0.498,0.40182,0.74347,4.0387,2.0291,0,0
0.098881,0.18694,1.0124,0.51477,0.448,0.7659,3.9362,2.0537,0,0
0.10542,0.19633,1.0461,0.5325,0.5248,0.83915,3.842,2.097,0,0
0.11039,0.20479,1.0824,0.5493,0.55674,0.88064,3.9485,2.0982,0,0
0.11394,0.21147,1.1178,0.56831,0.53467,0.87282,4.0462,2.1378,0,0
0.11759,0.21785,1.1553,0.58864,0.54077,0.88286,4.1413,2.1672,0,0
