X1,X2,X3,X4,X5,X6,X7,X8,Sds_Armed,Anomaly_Tag
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.010914,0.015407,0.07258,0.040826,0.22011,0.31071,1.4637,0.82333,0,0
0.015007,0.021414,0.1116,0.058674,0.30265,0.43186,2.2506,1.1833,0,0
0.01852,0.02733,0.14996,0.076875,0.37349,0.55115,3.0241,1.5503,0,0
0.022128,0.032806,0.19349,0.096966,0.44625,0.6616,3.902,1.9555,0,0
0.02563,0.038232,0.23855,0.11646,0.51687,0.77102,4.8107,2.3487,0,0
0.029379,0.044644,0.2828,0.13501,0.46475,0.71496,4.9753,2.2459,0,0
0.033104,0.051355,0.32368,0.1529,0.44749,0.72494,5.0639,2.2601,0,0
0.036158,0.056421,0.36101,0.17148,0.42653,0.70596,5.0297,2.2748,0,0
0.040162,0.062937,0.40514,0.19028,0.43644,0.71807,5.1461,2.287,0,0
0.044997,0.070707,0.44719,0.21046,0.46119,0.76432,5.1164,2.2889,0,0
0.049755,0.07829,0.48465,0.23105,0.48651,0.80782,4.9631,2.3109,0,0
0.054109,0.085015,0.52522,0.25164,0.49874,0.81414,4.889,2.3522,0,0
0.059311,0.092788,0.56857,0.2741,0.5285,0.83556,4.9385,2.4443,0,0
0.066001,0.10306,0.61062,0.2954,0.60184,0.94047,5.0338,2.499,0,0
0.071373,0.11146,0.65334,0.31458,0.62943,0.97852,5.0055,2.5066,0,0
0.074815,0.11742,0.69666,0.33409,0.60133,0.94204,5.0309,2.4932,0,0
0.077443,0.12375,0.73492,0.35126,0.55839,0.91669,5.047,2.4241,0,0
0.080809,0.13027,0.7712,0.36853,0.53845,0.9126,4.9605,2.3573,0,0
0.085067,0.1369,0.80912,0.38859,0.51941,0.88964,4.8512,2.3089,0,0
0.089151,0.14343,0.84865,0.4074,0.46684,0.81423,4.8003,2.2587,0,0
0.092749,0.14921,0.88485,0.42688,0.43108,0.76138,4.6688,2.2648,0,0
0.096459,0.15508,0.9208,0.44745,0.43649,0.75944,4.5201,2.2859,0,0
0.10055,0.1618,0.95932,0.46911,0.46594,0.7675,4.5256,2.3767,0,0
0.10494,0.16861,0.99815,0.49119,0.48655,0.77328,4.5769,2.4735,0,0
0.1086,0.1754,1.0365,0.51128,0.47468,0.77644,4.5861,2.4741,0,0
0.11242,0.18229,1.0776,0.53107,0.46929,0.78362,4.618,2.494,0,0
0.11628,0.18889,1.1223,0.55069,0.47449,0.80014,4.7879,2.4968,0,0
0.12003,0.19488,1.1668,0.56859,0.47531,0.80259,4.9614,2.443,0,0
0.12444,0.20125,1.2088,0.59189,0.4819,0.79553,5.0318,2.4759,0,0
0.12895,0.20839,1.2525,0.61933,0.48436,0.80219,5.1293,2.5843,0,0
0.13287,0.21543,1.2934,0.64488,0.48941,0.80723,5.1798,2.6942,0,0
0.13624,0.22163,1.3331,0.66807,0.48025,0.7934,5.1515,2.7629,0,0
0.14007,0.22783,1.3767,0.68979,0.47979,0.78532,5.1316,2.8051,0,0
