X1,X2,X3,X4,X5,X6,X7,X8,Sds_Armed,Anomaly_Tag
0.010415,0.016949,0.10183,0.05074,0.21003,0.34181,2.0537,1.0232,0,0
0.013084,0.021869,0.13424,0.06707,0.26387,0.44103,2.7073,1.3526,0,0
0.016055,0.027667,0.16838,0.085397,0.32377,0.55795,3.3957,1.7222,0,0
0.019222,0.03381,0.20292,0.10129,0.38765,0.68184,4.0922,2.0427,0,0
0.021878,0.0393,0.23484,0.11695,0.36238,0.67273,4.0283,2.0213,0,0
0.024959,0.045225,0.26541,0.13205,0.35205,0.6759,3.9239,1.9689,0,0
0.028328,0.05133,0.29733,0.14772,0.36124,0.69334,3.9424,1.9558,0,0
0.031279,0.056718,0.33517,0.16448,0.36694,0.70277,4.052,1.9645,0,0
0.034486,0.061965,0.36911,0.18099,0.3717,0.69168,4.0481,1.9278,0,0
0.038407,0.067896,0.40144,0.1968,0.38689,0.6874,4.0036,1.926,0,0
0.042244,0.07313,0.4338,0.21247,0.41071,0.68225,4.0123,1.9264,0,0
0.044764,0.077382,0.46463,0.22835,0.3994,0.6485,4.0177,1.9421,0,0
0.048053,0.082748,0.49383,0.24376,0.3978,0.6336,3.9628,1.9368,0,0
0.052176,0.088666,0.5242,0.25972,0.42141,0.6443,3.8121,1.9206,0,0
0.056265,0.095104,0.55552,0.27697,0.4392,0.6683,3.7592,1.9357,0,0
0.061102,0.10203,0.58728,0.29102,0.45769,0.6883,3.7477,1.9002,0,0
0.064263,0.10743,0.6191,0.3048,0.44405,0.69163,3.7369,1.8618,0,0
0.06809,0.11295,0.65179,0.32059,0.47041,0.71728,3.7743,1.86,0,0
0.071556,0.11792,0.68294,0.33615,0.47397,0.70928,3.8136,1.8631,0,0
0.074382,0.12307,0.70995,0.34874,0.44783,0.69378,3.7459,1.7953,0,0
0.077587,0.12894,0.73835,0.36066,0.43,0.68238,3.6871,1.6877,0,0
0.080681,0.13426,0.77177,0.37361,0.39485,0.65004,3.7205,1.6654,0,0
0.083638,0.13921,0.8022,0.38887,0.39072,0.64102,3.6925,1.6955,0,0
0.087091,0.145,0.82961,0.40317,0.38319,0.6463,3.5861,1.6655,0,0
0.090025,0.14985,0.85922,0.41659,0.37245,0.64396,3.555,1.6223,0,0
0.09302,0.1547,0.89031,0.42947,0.37586,0.63785,3.6373,1.6281,0,0
0.096131,0.16048,0.91952,0.44349,0.37398,0.63602,3.6536,1.6703,0,0
0.099117,0.16593,0.94936,0.4584,0.37179,0.63868,3.5816,1.71,0,0
0.10311,0.17186,0.98099,0.47614,0.39264,0.65832,3.6056,1.76,0,0
0.10698,0.17774,1.0147,0.49332,0.40119,0.66023,3.7329,1.8181,0,0
0.11046,0.18394,1.0469,0.50888,0.41211,0.68745,3.7847,1.8611,0,0
0.11338,0.18921,1.0761,0.52335,0.41063,0.69606,3.7476,1.8933,0,0
0.11654,0.19435,1.1074,0.53711,0.41167,0.68307,3.7895,1.888,0,0
0.1205,0.20045,1.1407,0.54988,0.43132,0.69607,3.8595,1.8449,0,0
0.12441,0.20726,1.1739,0.56432,0.42959,0.71395,3.8894,1.7782,0,0
0.12811,0.21326,1.2062,0.57928,0.42594,0.71647,3.8618,1.7335,0,0
0.13071,0.21791,1.2364,0.59505,0.40833,0.68512,3.8208,1.7378,0,0
0.13296,0.22199,1.266,0.61019,0.39484,0.6611,3.8281,1.7512,0,0
0.13522,0.226,1.2949,0.62514,0.37653,0.63826,3.7803,1.7753,0,0
0.13745,0.23031,1.3247,0.63891,0.3417,0.60225,3.7103,1.7954,0,0
0.14081,0.2359,1.3608,0.65279,0.33084,0.57769,3.7694,1.7841,0,0
0.14462,0.24192,1.3938,0.66751,0.33311,0.57789,3.7836,1.7793,0,0
0.14818,0.24698,1.4232,0.68191,0.35237,0.58624,3.7676,1.7516,0,0
0.15291,0.25316,1.4523,0.69668,0.40226,0.6285,3.7575,1.7443,0,0
0.1567,0.2594,1.4845,0.7118,0.43333,0.67353,3.8231,1.7477,0,0
0.1594,0.26466,1.5191,0.72544,0.44273,0.69264,3.9202,1.7452,0,0
0.16382,0.27116,1.5532,0.74066,0.46386,0.71108,3.8812,1.772,0,0
0.16855,0.2782,1.5919,0.75509,0.48249,0.73161,3.9951,1.7662,0,0
0.18356,0.31343,2.7418,0.922,0.4872,0.98354,24.657,3.9639,0,0
0.1877,0.32341,3.1604,0.97222,0.48171,1.0535,32.412,4.6699,0,0
0.19168,0.33112,3.3593,1.0035,0.46642,1.0672,35.642,5.01,0,0
0.19608,0.33846,3.5116,1.0273,0.48876,1.0931,37.704,5.1512,0,0
0.1999,0.34536,3.65,1.0509,0.50274,1.0904,37.078,4.9377,0,0
0.20301,0.35125,3.7392,1.075,0.48466,0.99392,30.86,4.2693,0,0
0.20718,0.35828,3.8248,1.1011,0.47629,0.90454,21.841,3.6114,0,0
0.21194,0.36687,3.9377,1.1298,0.48876,0.87654,15.674,3.1773,0,0
0.21525,0.37502,4.0606,1.1619,0.47549,0.88549,14.144,3.1947,0,0
0.21905,0.38238,4.1618,1.1896,0.46326,0.88571,13.112,3.2727,0,0
0.22365,0.39072,4.2911,1.2234,0.47903,0.91482,12.929,3.4803,0,0
0.22783,0.39957,4.4569,1.2595,0.50052,0.97448,14.473,3.7213,0,0
0.23138,0.40921,4.6574,1.308,0.48812,1.027,16.791,4.173,0,0
0.23553,0.41983,5.001,1.4034,0.47584,1.068,21.443,5.5188,0,0
0.24018,0.42969,5.3021,1.4718,0.50262,1.1025,25.036,6.2487,0,0
0.24393,0.43745,5.517,1.5172,0.50175,1.1105,27.331,6.6079,0,0
0.24698,0.44382,5.7651,1.5756,0.47045,1.0708,29.725,7.1025,0,0
0.25069,0.45178,6.1706,1.6725,0.46104,1.053,34.559,8.3284,0,0
0.25494,0.46106,6.6057,1.759,0.475,1.0457,39.29,9.0959,0,0
0.25966,0.4703,6.9943,1.8347,0.48648,1.0177,40.2,8.697,0,0
0.26509,0.48007,7.3888,1.9268,0.50235,1.0159,42.082,9.1763,0,0
0.27003,0.48916,7.8204,2.006,0.5264,1.0429,46.451,9.8562,0,0
0.27449,0.49783,8.3974,2.1148,0.55477,1.0893,53.086,10.874,0,0
0.28112,0.50894,8.8782,2.2238,0.61354,1.1526,54.604,11.118,0,0
0.28989,0.52694,9.2663,2.3314,0.70496,1.3285,53.657,11.542,0,0
0.30023,0.54803,9.6932,2.4679,0.81824,1.5677,54.427,12.771,0,0
0.30634,0.56213,10.099,2.6044,0.83195,1.6548,54.647,13.666,0,0
0.31227,0.57683,10.624,2.7435,0.85186,1.768,56.545,14.874,0,0
0.31913,0.59229,11.251,2.8907,0.90031,1.9048,57.549,15.647,0,0
0.32498,0.60716,11.847,3.0025,0.8845,1.9809,59.873,15.704,0,0
0.33344,0.62496,12.403,3.1127,0.87817,1.9767,63.247,15.757,0,0
0.3444,0.65036,12.931,3.2404,0.89068,2.0637,65.303,15.579,0,0
0.35243,0.66926,13.406,3.3742,0.92942,2.1605,66.692,15.524,0,0
0.35999,0.68772,13.839,3.5008,0.96239,2.2364,64.84,15.271,0,0
0.36582,0.70255,14.417,3.654,0.94146,2.2236,63.84,15.393,0,0
0.37042,0.71559,15.11,3.8054,0.91636,2.1866,65.803,16.193,0,0
0.37805,0.7337,15.817,4.0053,0.89964,2.193,68.855,18,0,0
0.38563,0.75445,16.468,4.1862,0.8315,2.099,71.328,19.072,0,0
0.39487,0.77335,17.161,4.3409,0.85592,2.0991,75.734,19.495,0,0
0.40562,0.7907,17.933,4.5317,0.92006,2.0767,82.546,20.791,0,0
