X1,X2,X3,X4,X5,X6,X7,X8,Sds_Armed,Anomaly_Tag
0.021855,0.034357,0.12162,0.074555,0.44075,0.69287,2.4527,1.5035,0,0
0.029623,0.046846,0.15765,0.10175,0.59739,0.94473,3.1792,2.052,0,0
0.03571,0.058171,0.19561,0.12755,0.72015,1.1731,3.9448,2.5722,0,0
0.043802,0.072376,0.24436,0.14911,0.88334,1.4596,4.9278,3.0071,0,0
0.053605,0.089176,0.29145,0.16847,0.94889,1.5577,5.0434,2.8852,0,0
0.06387,0.10585,0.32779,0.18887,0.98773,1.6687,4.9647,2.8129,0,0
0.071335,0.11757,0.35587,0.20515,0.99783,1.6781,4.724,2.6336,0,0
0.076559,0.12523,0.385,0.22038,0.94654,1.5807,4.5849,2.3922,0,0
0.082087,0.133,0.41842,0.23559,0.93527,1.5091,4.4933,2.1788,0,0
0.086343,0.13989,0.44726,0.24993,0.85791,1.3615,4.0919,2.0331,0,0
0.089773,0.14617,0.48065,0.26567,0.72938,1.1493,3.8154,1.9602,0,0
0.093818,0.15259,0.51622,0.28154,0.60395,0.94248,3.8,1.8689,0,0
0.098871,0.15997,0.54974,0.29592,0.55532,0.85512,3.9096,1.8306,0,0
0.10415,0.16693,0.58276,0.31241,0.55646,0.84112,3.9881,1.8561,0,0
0.10925,0.1743,0.61443,0.33016,0.54787,0.8327,3.953,1.9071,0,0
0.11401,0.18163,0.65267,0.34634,0.55788,0.84174,4.1425,1.9443,0,0
0.1181,0.1883,0.68959,0.36115,0.57133,0.84975,4.2136,1.9256,0,0
0.12211,0.19504,0.72262,0.37527,0.57054,0.85613,4.1623,1.89,0,0
0.12685,0.20271,0.7581,0.38934,0.56434,0.86183,4.202,1.8839,0,0
0.131,0.20889,0.79294,0.40267,0.54152,0.84621,4.2386,1.8202,0,0
0.13444,0.21449,0.83019,0.41581,0.50792,0.81067,4.351,1.7274,0,0
0.13783,0.22092,0.86775,0.42924,0.48039,0.79228,4.3375,1.6719,0,0
0.14112,0.22748,0.90418,0.44328,0.46427,0.79014,4.3275,1.6563,0,0
0.14596,0.23475,0.9341,0.45792,0.48094,0.80087,4.2649,1.6668,0,0
0.15218,0.24303,0.96496,0.47194,0.51067,0.81324,4.1718,1.6657,0,0
0.15701,0.2509,0.99888,0.48506,0.52446,0.84716,4.1531,1.6616,0,0
0.15996,0.25629,1.0308,0.49954,0.51466,0.84281,4.0459,1.6886,0,0
0.16306,0.26182,1.067,0.51476,0.50878,0.82493,4.0189,1.7245,0,0
0.166,0.2673,1.0975,0.53002,0.50162,0.80294,3.8987,1.7492,0,0
0.16908,0.27277,1.1264,0.54456,0.46638,0.76675,3.8779,1.7472,0,0
0.17296,0.27957,1.1709,0.55953,0.41904,0.73695,4.1525,1.7664,0,0
0.17595,0.28592,1.2144,0.57363,0.38204,0.70611,4.3473,1.7861,0,0
0.17876,0.29103,1.2606,0.58723,0.37921,0.70071,4.6332,1.7685,0,0
0.18203,0.29602,1.2976,0.60145,0.38268,0.68964,4.6488,1.7482,0,0
0.18618,0.30188,1.3294,0.61676,0.40704,0.6974,4.6771,1.7493,0,0
0.1911,0.30949,1.3656,0.63099,0.44399,0.74038,4.8248,1.7431,0,0
0.19538,0.31675,1.4045,0.64612,0.45231,0.74979,4.7122,1.7463,0,0
0.19871,0.32197,1.4453,0.66066,0.45886,0.72713,4.6563,1.7552,0,0
0.20278,0.32771,1.4922,0.67441,0.48442,0.7397,4.6717,1.7581,0,0
0.20663,0.33398,1.5356,0.68846,0.4961,0.76545,4.8009,1.7547,0,0
0.21037,0.34036,1.566,0.70367,0.48786,0.77594,4.7704,1.7527,0,0
0.21435,0.34722,1.5996,0.71645,0.46881,0.76104,4.7176,1.7234,0,0
0.21795,0.35384,1.6366,0.72894,0.45501,0.74794,4.6807,1.6702,0,0
0.22181,0.36045,1.671,0.74178,0.46593,0.77595,4.5513,1.6359,0,0
0.22522,0.36583,1.7,0.7548,0.45251,0.76877,4.1906,1.6212,0,0
0.22825,0.37204,1.7358,0.7684,0.43587,0.76757,4.0373,1.6121,0,0
0.23158,0.37908,1.7928,0.78339,0.4276,0.78083,4.5735,1.6077,0,0
0.23516,0.38598,1.843,0.79831,0.41965,0.78155,4.9088,1.6508,0,0
0.23889,0.39382,1.8949,0.81314,0.42239,0.80621,5.2081,1.6979,0,0
0.24233,0.40174,1.9509,0.82756,0.41379,0.83267,5.6443,1.7299,0,0
0.24653,0.40977,1.9973,0.84184,0.42959,0.88612,5.996,1.7552,0,0
0.25245,0.41909,2.0434,0.85485,0.48819,0.94886,6.2024,1.7434,0,0
0.25614,0.42577,2.0788,0.86713,0.49546,0.94171,5.7692,1.6887,0,0
0.2596,0.43245,2.1154,0.87992,0.49305,0.93714,5.4938,1.6459,0,0
0.2632,0.43837,2.1532,0.89505,0.4902,0.89851,5.2086,1.6519,0,0
0.267,0.44486,2.1918,0.90895,0.49761,0.86956,4.8583,1.6413,0,0
0.27097,0.45124,2.2393,0.92179,0.49287,0.83623,4.8804,1.6123,0,0
0.27503,0.45728,2.2876,0.93625,0.45522,0.77017,4.9251,1.6415,0,0
0.27917,0.46351,2.3436,0.95107,0.46429,0.76112,5.3401,1.6929,0,0
0.28307,0.4698,2.4009,0.9651,0.47314,0.75316,5.7582,1.7178,0,0
0.2868,0.47628,2.4494,0.97807,0.47595,0.76446,5.9749,1.6742,0,0
0.29024,0.48251,2.5023,0.99117,0.46859,0.75926,6.2624,1.658,0,0
0.29429,0.48985,2.5625,1.004,0.47039,0.77873,6.518,1.6575,0,0
0.29836,0.49767,2.6143,1.0174,0.47064,0.81465,6.5891,1.6369,0,0
0.30209,0.50451,2.6586,1.0308,0.46223,0.82665,6.3527,1.6082,0,0
0.3052,0.51119,2.7016,1.0432,0.44638,0.83475,6.0634,1.5753,0,0
0.30873,0.5185,2.7409,1.0558,0.44231,0.85139,5.8781,1.5684,0,0
0.31162,0.52502,2.7817,1.0689,0.43121,0.85745,5.6341,1.567,0,0
0.3148,0.5308,2.8248,1.0818,0.41366,0.82579,5.2889,1.5696,0,0
0.31958,0.53833,2.8732,1.0961,0.42781,0.81984,5.2204,1.5874,0,0
0.32329,0.54491,2.928,1.1094,0.42748,0.8149,5.4322,1.5854,0,0
0.32684,0.55141,2.9936,1.1208,0.43638,0.81113,5.8892,1.5649,0,0
0.33206,0.55964,3.0682,1.1332,0.4705,0.82967,6.6009,1.5608,0,0
0.33652,0.56714,3.1193,1.1462,0.50204,0.84938,6.8078,1.5587,0,0
0.34069,0.57486,3.1992,1.1677,0.52197,0.88853,7.5511,1.7316,0,0
0.34424,0.58358,3.4267,1.211,0.49734,0.91269,11.162,2.3161,0,0
0.34773,0.59596,3.8944,1.2732,0.49292,1.0293,19.488,3.3034,0,0
