X1,X2,X3,X4,X5,X6,X7,X8,Sds_Armed,Anomaly_Tag
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.0094773,0.015196,0.066175,0.042091,0.19113,0.30645,1.3345,0.84884,0,0
0.013324,0.022717,0.10589,0.061472,0.26871,0.45813,2.1355,1.2397,0,0
0.017374,0.031056,0.14398,0.08245,0.35037,0.62629,2.9037,1.6627,0,0
0.023062,0.041081,0.17856,0.10307,0.46508,0.82848,3.6009,2.0785,0,0
0.028733,0.050971,0.20771,0.12289,0.57945,1.0279,4.1889,2.4783,0,0
0.033429,0.06049,0.23779,0.14242,0.58363,1.0824,4.1634,2.4006,0,0
0.037718,0.069133,0.26642,0.16118,0.56951,1.0877,4.0384,2.4016,0,0
0.042607,0.077477,0.29515,0.18345,0.59054,1.1043,3.8168,2.4599,0,0
0.049591,0.087245,0.32679,0.20587,0.64971,1.1331,3.6866,2.4889,0,0
0.060063,0.10128,0.35981,0.22634,0.74618,1.214,3.6554,2.4861,0,0
0.073477,0.11751,0.3916,0.24401,0.90233,1.3418,3.7084,2.4425,0,0
0.080102,0.12629,0.41941,0.25985,0.94123,1.327,3.6627,2.3681,0,0
0.084839,0.13323,0.44563,0.2773,0.95029,1.2926,3.6141,2.3417,0,0
0.088571,0.13922,0.47266,0.29557,0.92695,1.2452,3.5797,2.2611,0,0
0.092995,0.14644,0.50449,0.31301,0.87531,1.1938,3.5836,2.1606,0,0
0.097498,0.15392,0.53747,0.3308,0.75495,1.0615,3.5826,2.1065,0,0
0.10259,0.16227,0.56819,0.34808,0.58717,0.90267,3.5612,2.0987,0,0
0.10697,0.17,0.60167,0.36498,0.54188,0.88136,3.6755,2.1201,0,0
0.1107,0.17732,0.63567,0.38152,0.52147,0.8892,3.8324,2.1019,0,0
0.11635,0.18624,0.66808,0.39852,0.56016,0.94824,3.941,2.0761,0,0
0.13066,0.20419,0.7051,0.41591,0.75963,1.1646,4.0457,2.0751,0,0
0.13942,0.21554,0.73984,0.43229,0.84547,1.2428,4.0813,2.0467,0,0
0.14441,0.22267,0.77318,0.44871,0.8433,1.2181,4.1339,2.0296,0,0
0.14867,0.22934,0.80611,0.46576,0.841,1.1968,4.1228,2.0324,0,0
0.15207,0.23546,0.84465,0.48274,0.83432,1.1724,4.2145,2.0412,0,0
0.15584,0.24283,0.87994,0.50084,0.79647,1.1412,4.2725,2.0635,0,0
0.15986,0.25053,0.91033,0.51838,0.58892,0.9344,4.1387,2.0666,0,0
0.16333,0.2565,0.94193,0.53413,0.48222,0.82608,4.0755,2.0538,0,0
0.16731,0.26316,0.97629,0.55176,0.46186,0.81667,4.096,2.0781,0,0
0.17091,0.26949,1.0128,0.56793,0.44841,0.80968,4.1679,2.0605,0,0
0.17379,0.27504,1.0486,0.5831,0.43799,0.79835,4.1129,2.0239,0,0
