X1,X2,X3,X4,X5,X6,X7,X8,Sds_Armed,Anomaly_Tag
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.016419,0.027584,0.055416,0.026912,0.33111,0.55628,1.1176,0.54272,0,0
0.021297,0.035632,0.085915,0.039234,0.4295,0.71857,1.7326,0.79123,0,0
0.025094,0.043334,0.11855,0.051866,0.50606,0.8739,2.3908,1.046,0,0
0.029133,0.051953,0.14893,0.063267,0.58752,1.0477,3.0034,1.2759,0,0
0.034879,0.061953,0.17832,0.078372,0.7034,1.2494,3.5961,1.5805,0,0
0.041058,0.07096,0.20556,0.094973,0.66724,1.1468,3.5898,1.6043,0,0
0.046789,0.0791,0.23132,0.10833,0.61248,1.0389,3.5474,1.642,0,0
0.051402,0.086802,0.25761,0.12053,0.6071,1.0319,3.4624,1.6394,0,0
0.055152,0.093384,0.28648,0.1305,0.60618,1.0093,3.3865,1.5858,0,0
0.059142,0.10087,0.31619,0.14066,0.60517,0.98648,3.3731,1.5607,0,0
0.064361,0.11084,0.35024,0.15305,0.59456,0.98585,3.467,1.5061,0,0
0.068376,0.11971,0.38442,0.16589,0.5509,0.98305,3.607,1.4302,0,0
0.071665,0.12657,0.41309,0.17701,0.50166,0.95723,3.6656,1.3849,0,0
0.075692,0.13454,0.4389,0.18891,0.48985,0.9628,3.6562,1.3789,0,0
0.082908,0.14524,0.46504,0.2009,0.55975,1.0458,3.6009,1.4197,0,0
0.090505,0.15586,0.49421,0.21262,0.63249,1.109,3.5901,1.4513,0,0
0.09507,0.16387,0.52441,0.22437,0.61929,1.0695,3.5124,1.4383,0,0
0.099198,0.17079,0.55613,0.23643,0.62158,1.0302,3.4629,1.4226,0,0
0.10309,0.17793,0.58869,0.24985,0.63382,1.0359,3.5414,1.469,0,0
0.10782,0.18607,0.62058,0.26271,0.64792,1.0391,3.6638,1.4883,0,0
0.11626,0.19743,0.65337,0.27783,0.67261,1.0525,3.7981,1.5515,0,0
0.1264,0.21025,0.68791,0.29194,0.72395,1.0969,3.9061,1.5995,0,0
0.13621,0.22319,0.7232,0.30345,0.82973,1.1963,4.009,1.5947,0,0
0.15129,0.24299,0.75448,0.31494,1.0505,1.456,4.0001,1.5832,0,0
0.17227,0.26962,0.78595,0.32804,1.3951,1.8491,3.978,1.5768,0,0
0.19497,0.29974,0.81597,0.34225,1.7574,2.2924,3.9403,1.6042,0,0
0.20957,0.31885,0.84493,0.35646,1.8817,2.4485,3.8629,1.5857,0,0
0.21566,0.32828,0.87469,0.37067,1.8001,2.3803,3.7669,1.5878,0,0
0.22117,0.33648,0.90411,0.3857,1.7132,2.2846,3.6484,1.6587,0,0
0.22627,0.34506,0.93419,0.39853,1.5121,2.0583,3.624,1.6856,0,0
0.23047,0.35298,0.9643,0.41221,1.1736,1.6809,3.5967,1.6974,0,0
0.23598,0.36148,0.99779,0.42531,0.82711,1.245,3.6666,1.675,0,0
