X1,X2,X3,X4,X5,X6,X7,X8,Sds_Armed,Anomaly_Tag
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.017624,0.031349,0.075903,0.059635,0.35542,0.63221,1.5307,1.2026,0,0
0.02192,0.038335,0.10981,0.073974,0.44206,0.7731,2.2146,1.4918,0,0
0.025028,0.044106,0.14248,0.088231,0.50474,0.88946,2.8734,1.7793,0,0
0.028674,0.050726,0.17616,0.10213,0.57826,1.023,3.5527,2.0597,0,0
0.034929,0.062806,0.21175,0.11689,0.70441,1.2666,4.2703,2.3573,0,0
0.041845,0.075749,0.24922,0.13227,0.59843,1.0646,4.14,1.7637,0,0
0.04784,0.088314,0.28678,0.14756,0.60935,1.1488,4.2526,1.7732,0,0
0.05234,0.10054,0.34096,0.16563,0.61346,1.2544,4.6614,1.8483,0,0
0.057274,0.11315,0.39927,0.18483,0.65029,1.3924,5.1786,1.9481,0,0
0.062301,0.12706,0.43538,0.19898,0.67815,1.5395,5.2275,1.9531,0,0
0.069248,0.14311,0.46619,0.21274,0.69209,1.6194,5.1313,1.9328,0,0
0.076359,0.1571,0.49955,0.22592,0.69605,1.6405,5.0483,1.8887,0,0
0.083472,0.16974,0.53737,0.23776,0.71859,1.6422,5.0536,1.8189,0,0
0.09075,0.18252,0.5732,0.24977,0.77461,1.6533,4.6835,1.6969,0,0
0.095206,0.19416,0.60644,0.2625,0.76495,1.6337,4.1778,1.5664,0,0
0.099288,0.2066,0.64188,0.27422,0.74589,1.6041,4.1643,1.5174,0,0
0.10372,0.22001,0.67469,0.2853,0.69525,1.5508,4.2047,1.4634,0,0
0.10886,0.23145,0.70891,0.29656,0.65541,1.4994,4.222,1.4244,0,0
0.11435,0.24367,0.7467,0.3087,0.6226,1.4909,4.2216,1.4306,0,0
0.11974,0.25713,0.78104,0.3221,0.58458,1.5045,4.1916,1.4587,0,0
0.1265,0.27306,0.81554,0.33537,0.63114,1.5911,4.2169,1.4695,0,0
0.14005,0.29366,0.853,0.34657,0.82198,1.7557,4.2577,1.459,0,0
0.14887,0.30487,0.8888,0.35682,0.91055,1.7113,4.3178,1.4423,0,0
0.15284,0.31057,0.92772,0.3686,0.88698,1.5956,4.4128,1.4529,0,0
0.15621,0.3157,0.9695,0.38041,0.84423,1.4525,4.4931,1.4463,0,0
0.15985,0.32095,1.0121,0.39328,0.80886,1.2871,4.6588,1.4354,0,0
0.16389,0.32669,1.0513,0.40677,0.75393,1.0817,4.7543,1.4397,0,0
0.1675,0.33255,1.0891,0.41856,0.55357,0.78413,4.7623,1.452,0,0
0.17072,0.33824,1.1318,0.42967,0.44066,0.673,4.9005,1.4692,0,0
0.17363,0.34351,1.1784,0.4415,0.41932,0.6644,5.0561,1.4702,0,0
0.1764,0.34834,1.2326,0.45374,0.40716,0.65824,5.306,1.4788,0,0
0.17971,0.35365,1.2836,0.46751,0.40063,0.65949,5.4756,1.4971,0,0
